"date","subways_total_estimated_ridership","buses_total_estimated_ridersip"
"2021-07-13T00:00:00.000","2457526","1239045"
"2021-07-14T00:00:00.000","2517615","1260044"
"2021-07-15T00:00:00.000","2581582","1275846"
"2021-07-16T00:00:00.000","2536569","1219118"
"2021-07-17T00:00:00.000","1717480","795347"
"2021-07-18T00:00:00.000","1405344","640618"
"2021-07-19T00:00:00.000","2327756","1208792"
"2021-07-20T00:00:00.000","2462002","1217802"
"2021-07-21T00:00:00.000","2504568","1225595"
"2021-07-22T00:00:00.000","2582151","1279778"
"2021-07-23T00:00:00.000","2552330","1219255"
"2021-07-24T00:00:00.000","1852402","856250"
"2021-07-25T00:00:00.000","1364830","625645"
"2021-07-26T00:00:00.000","2318455","1219135"
"2021-07-27T00:00:00.000","2487947","1267804"
"2021-07-28T00:00:00.000","2534756","1276296"
"2021-07-29T00:00:00.000","2428764","1186642"
"2021-07-30T00:00:00.000","2557677","1235623"
"2021-07-31T00:00:00.000","1841007","857333"
"2021-08-01T00:00:00.000","1351294","629963"
"2021-08-02T00:00:00.000","2333923","1208484"
"2021-08-03T00:00:00.000","2483802","1262043"
"2021-08-04T00:00:00.000","2529002","1257876"
"2021-08-05T00:00:00.000","2529190","1259332"
"2021-08-06T00:00:00.000","2519444","1222343"
"2021-08-07T00:00:00.000","1780458","836715"
"2021-08-08T00:00:00.000","1333885","598574"
"2021-08-09T00:00:00.000","2289434","1183050"
"2021-08-10T00:00:00.000","2442194","1245670"
"2021-08-11T00:00:00.000","2475949","1246306"
"2021-08-12T00:00:00.000","2448589","1223666"
"2021-08-13T00:00:00.000","2430102","1189426"
"2021-08-14T00:00:00.000","1718222","811826"
"2021-08-15T00:00:00.000","1430620","661705"
"2021-08-16T00:00:00.000","2287627","1170216"
"2021-08-17T00:00:00.000","2427611","1209633"
"2021-08-18T00:00:00.000","2445638","1210760"
"2021-08-19T00:00:00.000","2439624","1194375"
"2021-08-20T00:00:00.000","2456334","1183308"
"2021-08-21T00:00:00.000","1715030","822340"
"2021-08-22T00:00:00.000","745240","369246"
"2021-08-23T00:00:00.000","2052669","1032792"
"2021-08-24T00:00:00.000","2462365","1234884"
"2021-08-25T00:00:00.000","2498255","1236342"
"2021-08-26T00:00:00.000","2480137","1222996"
"2021-08-27T00:00:00.000","2388210","1147249"
"2021-08-28T00:00:00.000","1659434","776489"
"2021-08-29T00:00:00.000","1398566","630281"
"2021-08-30T00:00:00.000","2321000","1182908"
"2021-08-31T00:00:00.000","2532584","1246463"
"2021-09-01T00:00:00.000","2294448","1086148"
"2021-09-02T00:00:00.000","1661558","1188941"
"2021-09-03T00:00:00.000","2390392","1221668"
