pl_name,pl_orbper,pl_orbsmax,st_mass,discoverymethod,disc_year
"GJ 3378 b",21.45000000000,0.0967300000,0.262000,"Radial Velocity",2026
"HIP 10090 b",2960.00000000000,3.8700000000,0.940000,"Radial Velocity",2026
"HIP 10090 c",321.82000000000,0.9000000000,0.940000,"Radial Velocity",2026
"HIP 8923 b",5160.00000000000,5.9000000000,1.010000,"Radial Velocity",2026
"HIP 39330 b",4650.00000000000,5.0500000000,0.960000,"Radial Velocity",2026
"HIP 98599 b",2656.00000000000,3.9600000000,1.190000,"Radial Velocity",2026
"HD 190360 d",88.69000000000,0.3886000000,0.996000,"Radial Velocity",2026
"HD 126105 b",524.00000000000,1.3600000000,1.200000,"Radial Velocity",2026
"Kepler-327 b",2.54957500000,0.0290000000,,"Transit",2014
"Kepler-321 c",13.09392100000,0.1100000000,,"Transit",2014
"Kepler-322 c",4.33723400000,0.0510000000,,"Transit",2014
"NGTS-38 b",180.52797000000,0.6970000000,1.460000,"Transit",2026
"bet Pic d",33200.00000000000,26.0000000000,1.789000,"Imaging",2026
"TOI-260 b",13.47585300000,0.0943000000,0.616000,"Transit",2024
"Kepler-349 b",5.92977800000,0.0650000000,,"Transit",2014
"Kepler-37 d",39.79226220000,0.2109000000,0.790000,"Transit",2013
"Kepler-330 c",15.95538700000,0.1160000000,,"Transit",2014
"Kepler-127 d",48.63040800000,0.2800000000,,"Transit",2014
"Kepler-329 c",18.68473700000,0.1130000000,,"Transit",2014
"Kepler-335 b",6.56233100000,0.0750000000,,"Transit",2014
"Kepler-345 c",9.38742700000,0.0770000000,,"Transit",2014
"Kepler-326 c",4.58035800000,0.0510000000,,"Transit",2014
"Kepler-352 c",16.33299500000,0.1180000000,,"Transit",2014
"Kepler-346 b",6.51112700000,0.0710000000,,"Transit",2014
"Kepler-127 c",29.39319500000,0.2000000000,,"Transit",2014
"Kepler-344 b",21.96394500000,0.1530000000,,"Transit",2014
"Kepler-1996 c",92.72972480000,0.3608000000,0.748000,"Transit",2023
